Year,Bs,T,B,CT,LB,MG,DG
1961,,0.8,0.8,-1.2,,,0.1
1961,,0.1,0.3,-0.4,,,0.1
1961,,0.1,0,-1.4,,,-0.9
1961,,0.3,0,-2,,,-0.4
1961,,0.9,0.4,-0.6,,,0.2
1961,,-0.1,0.7,-0.7,,,1.2
1961,,0.1,0.1,-1.5,,,0.6
1961,,0.6,-0.1,0,,,0.8
1961,,0.3,0.5,-0.2,,,0.9
1961,,1.2,2.6,2.3,,,1.8
1961,,0,-0.9,-0.5,,,0.7
1961,,0.1,0.1,-0.4,,,0.6
1961,,-0.7,-0.3,-0.5,,,0.5
1961,,-0.2,0.1,-1.3,,,-0.4
1961,,-0.2,0.2,-1.9,,,-0.3
1961,,0.7,0.4,-1.6,,,-0.8
1961,,-1.2,0.3,-1.2,,,-0.5
1961,,-0.8,-0.5,-0.9,,,0.2
1961,,-0.4,-0.9,-0.4,,,0.3
1961,,0.1,0.4,-1.5,,,0.6
1961,,0.8,0.7,-1.1,,,0.6
1961,,-0.6,0.7,-1.1,,,-0.4
1961,,-0.4,-0.1,-1.4,,,0.2
1961,,-1.8,0,-1.5,,,0.1
1961,,-4.3,-1.2,-2.8,,,1.2
1961,,0.1,0.4,0,,,-0.4
1961,,0.2,0.4,-0.2,,,0
1961,,-1.1,0.1,-0.5,,,0.1
1961,,1,0.7,-0.6,,,-0.1
1961,,-0.7,-0.2,-3.9,,,-2.1
1961,,-0.5,1.2,0.4,,,1.3
1961,,0.4,1,0.2,,,1.3
1961,,-1.4,-0.3,-0.6,,,0.1
1961,,-1.2,-0.2,-0.6,,,0.6
1961,,1.9,1.7,0.4,,,1.2
1961,,-1,0.1,-0.3,,,0.2
1961,,-1.2,-0.1,-1.8,,,0.4
1961,,0.5,1.1,1,,,1
1961,,-0.5,0.7,-0.2,,,2
1961,,-0.3,1,-0.3,,,1.1
1961,,0.9,0.3,0.4,,,0.5
1961,,-1.1,0.4,-0.9,,,0.6
1961,,-1.2,0.1,0,,,0.6
1961,,0,0.8,1.2,,,2
1961,,0.7,0.9,0.8,,,1.7
1961,,-0.6,0.9,0.1,,,0.8
1961,,0.9,0.9,0.8,,,1.8
1961,,-0.1,0,0.1,,,1.6
1961,,0,-0.5,-0.5,,,0.4
1961,,-0.1,0.2,-0.2,,,0.9
1961,,-1.4,0,-0.3,,,1.8
1961,,0.9,0.7,0.1,,,0.7
1961,,-0.2,0.7,-0.1,,,1.7
